Start Time,GPS Time,End Time,Lattitude,Longitude,Altitude,Train Speed,Prev. Lat,Prev. Long,Delay,Download Speed,Upload Speed,Ping
1746259738.8150585,1746259738.861269,1746259742.4319513,49.5309702,17.5756228,0,21,49.5312029,17.5760792,0,4.92,0.0,337.39
1746259747.5437431,1746259747.5905504,1746259753.1806464,49.528389,17.5714106,0,43,49.5309702,17.5756228,0,3.1,0.0,471.08
1746259758.3051121,1746259758.3479,1746259761.8379161,49.5277441,17.570004,0,44,49.528061,17.5707259,0,4.96,0.0,286.4
1746259766.9684224,1746259767.0092092,1746259771.4368708,49.5272158,17.5683326,0,53,49.5274709,17.5692274,0,4.05,0.0,506.98
1746259776.6103265,1746259776.6813262,1746259781.8016407,49.5268921,17.5661547,0,61,49.5270225,17.5673135,0,3.51,0.0,591.65
1746259786.9522777,1746259787.0184884,1746259791.8349311,49.5268988,17.5635364,0,70,49.5268707,17.5648856,0,3.61,0.0,412.91
1746259797.096844,1746259797.1725016,1746259803.9718513,49.5269064,17.5605593,0,81,49.5269066,17.5620762,0,2.68,0.0,860.39
1746259809.090122,1746259809.1537015,1746259817.6377647,49.526949,17.5572453,0,90,49.5269212,17.5589473,0,2.11,0.0,961.55
1746259822.7532332,1746259822.7966785,1746259827.2755005,49.5269749,17.5513526,0,100,49.5269612,17.5536297,0,3.92,0.0,426.2
1746259832.3863585,1746259832.4307249,1746259837.907418,49.5266398,17.5474563,0,105,49.5269329,17.5494204,0,3.57,0.0,1030.83
1746259843.0164585,1746259843.0583537,1746259849.6424274,49.5253426,17.5438039,0,112,49.5260939,17.5455785,0,2.87,0.0,1053.11
1746259854.7594273,1746259854.8091211,1746259863.319138,49.5236674,17.5401998,0,119,49.52452,17.5420234,0,2.05,0.0,771.54
1746259868.44063,1746259868.48919,1746259879.1407797,49.5211163,17.534574,0,121,49.5219869,17.5364606,0,1.64,0.0,950.48
1746259884.303192,1746259884.3688853,1746259891.2765563,49.5185156,17.5288916,0,120,49.5193664,17.5307842,0,2.83,0.0,1287.32
1746259896.4013112,1746259896.471251,1746259903.5066972,49.5172036,17.5247765,0,117,49.5177251,17.5269304,0,2.42,0.0,480.54
1746259908.62396,1746259908.68418,1746259914.4390483,49.5167557,17.5174254,0,120,49.5168975,17.5201695,0,3.06,0.0,554.84
1746259919.6216826,1746259919.6989207,1746259924.6577873,49.515804,17.513102,0,119,49.516441,17.5151795,0,3.65,0.0,599.73
1746259929.771997,1746259929.8135736,1746259934.2629325,49.5138063,17.5097035,0,119,49.5148844,17.5112923,0,3.98,0.0,456.47
1746259939.4154682,1746259939.4824889,1746259945.7942772,49.5116391,17.5065967,0,118,49.5127267,17.5081473,0,3.04,0.0,1091.2
1746259950.9095268,1746259950.9899495,1746259956.242666,49.5094504,17.5033492,0,123,49.5105367,17.505017,0,3.3,0.0,439.3
1746259961.3679001,1746259961.4107897,1746259966.996039,49.5076541,17.4993623,0,128,49.5084622,17.5014379,0,3.01,0.0,312.08
1746259972.1473765,1746259972.2104921,1746259977.4391863,49.5062041,17.4948213,0,133,49.506944,17.4971209,0,3.37,0.0,517.56
1746259982.5726411,1746259982.6148775,1746259986.6649792,49.5054707,17.4924924,0,134,49.5054707,17.4924924,0,4.79,0.0,733.4
1746259991.8262484,1746259991.8925605,1746259998.5949538,49.5031345,17.484982,0,134,49.5042949,17.4887544,0,2.56,0.0,496.53
1746260003.7227588,1746260003.766382,1746260007.8429272,49.5023887,17.4826577,0,135,49.5031345,17.484982,0,4.29,0.0,370.47
1746260013.1493082,1746260013.2186847,1746260021.7503533,49.5023887,17.4826577,0,135,49.5031345,17.484982,0,4.99,0.0,5348.49
1746260026.88439,1746260026.9449687,1746260032.5299032,49.5023887,17.4826577,0,135,49.5031345,17.484982,0,3.14,0.0,532.13
1746260037.6595602,1746260037.7393086,1746260041.528937,49.5023887,17.4826577,0,135,49.5031345,17.484982,0,4.77,0.0,460.18
1746260046.6414554,1746260046.7164426,1746260050.7190137,49.4905231,17.466987,0,133,49.5023887,17.4826577,0,4.36,0.0,354.18
1746260055.833367,1746260055.871252,1746260069.9928334,49.4870494,17.4629415,0,132,49.4886676,17.464809,0,1.08,0.0,415.82
1746260075.226477,1746260075.2848673,1746260079.6356146,49.4817519,17.4567582,0,131,49.4830902,17.4582949,0,4.31,0.0,663.05
1746260084.818659,1746260084.9010217,1746260089.6991198,49.4792065,17.4537898,0,120,49.4804403,17.4552168,0,3.67,0.0,468.83
1746260094.8106687,1746260094.8512924,1746260099.4038744,49.477025,17.4512352,0,105,49.4780849,17.4524584,0,3.97,0.0,553.54
1746260104.5186281,1746260104.5834093,1746260108.3122203,49.4759619,17.450151,0,101,49.477025,17.4512352,0,4.84,0.0,447.06
1746260113.4271853,1746260113.4682744,1746260118.4438658,49.4737602,17.4484933,0,94,49.4748777,17.4492068,0,3.56,0.0,508.33
1746260123.5632977,1746260123.815292,1746260132.9157422,49.4716025,17.4475362,0,86,49.4726806,17.4479272,0,1.83,0.0,409.81
1746260138.0278037,1746260138.0958402,1746260142.3459733,49.4685,17.4468827,0,74,49.4694129,17.4471064,0,4.79,0.0,932.24
1746260147.5004246,1746260147.5616405,1746260151.0502431,49.466938,17.4460648,0,57,49.4676575,17.4465185,0,5.28,0.0,478.64
1746260156.208765,1746260156.2789383,1746260159.800653,49.4659938,17.4451863,0,35,49.4663858,17.4455917,0,5.38,0.0,568.03
1746260164.9181056,1746260164.956113,1746260169.5501494,49.4656937,17.4448786,0,26,49.4659938,17.4451863,0,3.82,0.0,432.24
1746260174.793003,1746260174.8614464,1746260178.79924,49.4653135,17.444365,0,16,49.465504,17.4446055,0,4.37,0.0,300.46
